round,deltaT,mean_accuracy,n_selected
1,5129.0,0.5729972012341022,3
2,4091.0,0.546437089641889,3
3,4089.0000000000005,0.7052280505498251,3
4,4125.0,0.6467401583989462,3
5,3089.0,0.7849047680695852,3
6,4122.0,0.7789383033911387,3
7,5174.0,0.7383040537436804,3
8,3093.0,0.791049857934316,3
9,4090.0,0.8248232702414194,3
10,4128.0,0.7571483155091604,3
11,3108.0,0.7859652688105901,3
12,3124.0,0.7755301942427953,3
13,4089.0000000000005,0.7793316493431727,3
14,4121.0,0.8292995591958364,3
15,4089.0000000000005,0.8576909104983012,3
16,3089.0,0.8448575437068939,3
17,4104.0,0.8762494027614594,3
18,3091.0,0.8903322120507559,3
19,5091.0,0.8415081799030304,3
20,4090.0,0.8705159227053324,3
21,3104.0,0.8886453708012899,3
22,3088.0,0.920157810052236,3
23,3109.0,0.9045254091421763,3
24,4091.0,0.8561602632204691,3
25,3089.0,0.9312157730261484,3
26,3090.0,0.882758895556132,3
27,5091.0,0.9040183325608572,3
28,3092.0,0.8983436723550161,3
29,4091.0,0.9273599982261658,3
30,3089.0,0.9225681126117706,3
31,3091.0,0.8986411194006602,3
32,3117.0,0.9326450924078623,3
33,3087.0,0.9337993264198303,3
34,4089.0000000000005,0.9299282630284628,3
35,3088.0,0.9498733580112457,3
36,3091.0,0.9210229218006134,3
37,4093.0,0.9452338318030039,3
38,4120.0,0.9219631055990855,3
39,3090.0,0.9589990079402924,3
40,4091.9999999999995,0.954901377360026,3
41,4090.0,0.9488034347693125,3
42,3120.0,0.9491287370522817,3
43,4091.0,0.9543258547782898,3
44,3124.0,0.963240365187327,3
45,4090.0,0.965790311495463,3
46,3127.0,0.9646817147731781,3
47,4090.0,0.9610446691513062,3
48,5091.0,0.9481753607590994,3
49,3089.0,0.9735906620820364,3
