round,deltaT,mean_accuracy
1,3129.0,0.3091877121478319
2,3190.0,0.6561881192028522
3,2126.0,0.6354018822312355
4,2123.0,0.6535828337073326
5,2123.0,0.7394529432058334
6,2110.0,0.790106862783432
7,2103.0,0.7763012796640396
8,2103.0,0.8849881738424301
9,2113.0,0.8597912341356277
10,2122.0,0.8645989447832108
11,2108.0,0.817060187458992
12,2121.0,0.8918301910161972
13,2124.0,0.8656948208808899
14,2114.0,0.8993372917175293
15,2122.0,0.9194017052650452
16,2117.0,0.9310663342475891
17,2117.0,0.9131665080785751
18,2099.0,0.9313536584377289
19,2128.0,0.9433035999536514
20,2089.0,0.9565220028162003
21,2090.0,0.9377163201570511
22,2127.0,0.9235458374023438
23,2122.0,0.9417392909526825
24,2096.0,0.9614699482917786
25,2091.0,0.9648972302675247
26,2090.0,0.9559394419193268
27,2093.0,0.959819570183754
28,2124.0,0.9504364132881165
29,2126.0,0.9555848836898804
30,2124.0,0.9732362031936646
