Round,Round Delta T,Cliente 1,Cliente 2,Cliente 3,Cliente 4,Acurácia Média
1,44678.0,0.7913333177566528,0.7799999713897705,0.7919999957084656,0.7820000052452087,0.7863333225250244
2,47504.0,0.9826666712760925,0.984333336353302,0.9823333621025085,0.9836666584014893,0.9832500070333481
3,46408.0,0.9860000014305115,0.9863333106040955,0.984666645526886,0.981333315372467,0.98458331823349
4,85456.0,0.987333357334137,0.984000027179718,0.987666666507721,0.9860000014305115,0.9862500131130219
5,52428.0,0.987666666507721,0.9883333444595337,0.987333357334137,0.9853333234786987,0.9871666729450226
6,47436.0,0.9853333234786987,0.987333357334137,0.9879999756813049,0.9863333106040955,0.986749991774559
7,53510.0,0.9850000143051147,0.987333357334137,0.9863333106040955,0.987666666507721,0.986583337187767
8,54474.0,0.9869999885559082,0.984666645526886,0.9869999885559082,0.9866666793823242,0.9863333255052567
9,51441.0,0.9856666922569275,0.9853333234786987,0.9869999885559082,0.9866666793823242,0.9861666709184647
10,49410.0,0.9883333444595337,0.9869999885559082,0.9853333234786987,0.987333357334137,0.9870000034570694
